date,ADI,AMAT,AMD,ASML,AVGO,INTC,KLAC,LRCX,MCHP,MPWR,MRVL,MU,NVDA,NXPI,ON,QCOM,QQQ,QRVO,SMH,SOXX,SPY,SWKS,TER,TXN
2023-01-03,153.73052978515625,94.03927612304688,64.0199966430664,534.0223388671875,52.80814743041992,25.775144577026367,365.15777587890625,40.103126525878906,63.85606002807617,334.5199890136719,35.519710540771484,49.62710952758789,14.299909591674805,145.81455993652344,61.61000061035156,99.50663757324219,259.4687194824219,89.13999938964844,99.33597564697266,112.21331787109375,365.0721130371094,81.33025360107422,84.80160522460938,148.0559844970703
2023-01-04,157.00485229492188,96.54750061035156,64.66000366210938,554.6810302734375,53.453125,26.69120979309082,368.7264404296875,40.89297866821289,65.41781616210938,349.0341491699219,36.1316032409668,53.40062713623047,14.733452796936035,148.55126953125,62.20000076293945,103.52587127685547,260.7048645019531,91.0,101.8615493774414,115.10176849365234,367.8905334472656,84.00833129882812,86.27202606201172,153.46258544921875
2023-01-05,151.11866760253906,95.19615936279297,62.33000183105469,549.3267822265625,52.955078125,26.57549476623535,362.17095947265625,40.37028503417969,63.85606002807617,338.52886962890625,34.283016204833984,53.903106689453125,14.24996280670166,144.36627197265625,59.7400016784668,101.5487289428711,256.6236267089844,90.29000091552734,100.03643035888672,113.16094970703125,363.6915588378906,83.05573272705078,85.97598266601562,151.43057250976562
2023-01-06,156.63577270507812,101.3695068359375,63.959999084472656,578.9931640625,56.142765045166016,27.70370101928711,385.56121826171875,43.100929260253906,67.24755096435547,358.417724609375,35.68675994873047,55.93272399902344,14.843334197998047,150.12176513671875,62.470001220703125,107.06243133544922,263.7068176269531,93.3499984741211,104.41178894042969,118.42659759521484,372.0318603515625,85.76972961425781,90.04185485839844,158.8964080810547
2023-01-09,158.13095092773438,103.52777862548828,67.23999786376953,603.7522583007812,55.041717529296875,28.26297950744629,395.9762878417969,43.79400634765625,68.19938659667969,374.0341491699219,36.49736785888672,55.52877426147461,15.611525535583496,151.38194274902344,64.6500015258789,106.38482666015625,265.4139404296875,95.20999908447266,106.685791015625,120.6083984375,371.8209228515625,86.70435333251953,91.98600006103516,160.2753143310547
2023-01-10,160.13719177246094,105.03466033935547,68.05000305175781,615.4711303710938,54.85471725463867,28.38833999633789,403.67608642578125,44.392208099365234,69.72415924072266,378.62841796875,36.586341857910156,56.36623001098633,15.892230987548828,156.1781768798828,64.2699966430664,108.51978302001953,267.6604919433594,96.18000030517578,108.07188415527344,122.168212890625,374.4284973144531,87.6299819946289,93.53539276123047,161.83560180664062
2023-01-11,160.67657470703125,106.99845123291016,69.05999755859375,626.4415893554688,55.160987854003906,28.78369140625,406.46893310546875,44.9429817199707,69.67794799804688,387.6022644042969,37.98019790649414,57.20369338989258,15.984132766723633,158.67971801757812,64.62999725341797,109.8935546875,272.2910461425781,99.05000305175781,109.3396224975586,123.74432373046875,379.1641540527344,90.2720947265625,95.07489776611328,162.26199340820312
2023-01-12,159.61669921875,107.13456726074219,70.80000305175781,634.0987548828125,55.52354431152344,29.207975387573242,406.3913879394531,45.498600006103516,69.53009796142578,389.8164978027344,38.86001205444336,56.425350189208984,16.493595123291016,160.07159423828125,64.93000030517578,112.86389923095703,273.7626037597656,99.66000366210938,110.97728729248047,125.24879455566406,380.5445556640625,90.99104309082031,94.87753295898438,161.59066772460938
2023-01-13,159.91006469726562,106.91098022460938,71.0,641.0270385742188,55.24303436279297,29.034404754638672,407.3320617675781,45.849971771240234,69.23439025878906,388.6654357910156,40.204437255859375,56.090362548828125,16.881183624267578,161.58567810058594,65.1500015258789,111.61078643798828,275.64630126953125,100.4000015258789,111.37683868408203,125.7665786743164,382.0209045410156,91.3145523071289,96.16045379638672,162.38894653320312
2023-01-17,157.95115661621094,106.36653137207031,71.58999633789062,639.5694580078125,55.26593780517578,28.542625427246094,403.36578369140625,45.59055709838867,68.8370132446289,391.8063049316406,40.560325622558594,56.011539459228516,17.68334197998047,160.1844024658203,65.87000274658203,111.64790344238281,276.20550537109375,101.2699966430664,112.037841796875,125.90985870361328,381.3211364746094,92.17728424072266,95.37096405029297,159.11416625976562
2023-01-18,157.08998107910156,106.64848327636719,70.52999877929688,633.8363037109375,54.79364776611328,27.780841827392578,402.50274658203125,45.19369125366211,68.29180145263672,388.0704650878906,40.02650833129883,55.67656326293945,17.35868263244629,160.5135955810547,66.33000183105469,113.28160095214844,272.6147766113281,100.97000122070312,111.33738708496094,125.24879455566406,375.3008117675781,91.48532104492188,94.65055084228516,157.6264190673828
2023-01-19,154.3740234375,103.20696258544922,67.70999908447266,612.419921875,53.737449645996094,27.404775619506836,389.9347839355469,43.93532943725586,66.30494689941406,373.8683166503906,38.128482818603516,55.52877426147461,16.74732208251953,155.1719207763672,63.4900016784668,109.14168548583984,269.9365539550781,98.79000091552734,108.614501953125,121.73512268066406,372.56866455078125,89.7957992553711,92.61759185791016,155.05918884277344
2023-01-20,156.30455017089844,106.59986877441406,70.06999969482422,630.49365234375,54.45875930786133,28.17619514465332,401.32928466796875,45.736724853515625,68.01455688476562,388.0021667480469,39.02806854248047,57.59779357910156,17.8201961517334,158.46343994140625,66.26000213623047,114.07987976074219,277.32391357421875,102.38999938964844,112.14635467529297,125.54513549804688,379.50933837890625,92.6176528930664,96.249267578125,156.93701171875
2023-01-23,160.55355834960938,110.98442840576172,76.52999877929688,656.90478515625,55.49396514892578,29.18868637084961,412.70440673828125,47.50617599487305,70.5188980102539,417.9767761230469,42.26063537597656,60.90824508666992,19.17276954650879,162.7235565185547,70.80000305175781,121.62642669677734,283.4848327636719,109.43000030517578,117.43428802490234,131.84957885742188,384.0628356933594,98.50396728515625,102.14088439941406,161.62692260742188
2023-01-24,159.79649353027344,109.84696197509766,74.69999694824219,651.05517578125,55.818363189697266,28.8511905670166,410.33819580078125,47.188682556152344,69.97367095947266,408.82733154296875,42.02337646484375,60.35649108886719,19.24468994140625,162.8552703857422,70.08000183105469,121.32009887695312,282.9061279296875,108.11000061035156,116.60064697265625,130.85311889648438,383.650634765625,96.4370346069336,101.66719055175781,160.6018829345703
2023-01-25,159.4084930419922,110.7802505493164,74.91000366210938,662.2493286132812,55.8803825378418,28.639049530029297,409.8340148925781,47.27581024169922,70.35255432128906,414.2507019042969,42.250755310058594,60.63237380981445,19.302629470825195,163.72987365722656,71.80999755859375,121.75638580322266,282.2781982421875,110.11000061035156,116.71903228759766,131.20806884765625,383.79443359375,98.3332290649414,102.08167266845703,158.78756713867188
2023-01-26,161.5756072998047,112.36491394042969,75.16000366210938,664.5521240234375,57.11119079589844,29.015117645263672,415.78826904296875,48.18085479736328,72.3209228515625,422.12237548828125,43.88185501098633,61.87379455566406,19.7811279296875,169.29725646972656,73.68000030517578,124.34614562988281,287.7818908691406,112.52999877929688,118.81051635742188,133.41915893554688,388.012451171875,100.66979217529297,102.30863189697266,157.9348602294922
2023-01-27,161.66075134277344,109.37059020996094,75.4000015258789,648.5092163085938,56.38701248168945,27.154062271118164,387.287353515625,46.74148178100586,71.78492736816406,414.6213684082031,43.74345779418945,62.92800521850586,20.34353256225586,170.72669982910156,73.66999816894531,123.82632446289062,290.6466369628906,111.61000061035156,118.03114318847656,132.5692901611328,388.9040222167969,99.89693450927734,102.08167266845703,158.96902465820312
