date,left_price,right_price,spread,zscore,signal,left_shares,right_shares,cash,turnover,cost,equity,daily_pnl,traded
2025-01-02,71.69670867919922,162.0437774658203,-0.31954745877996515,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-03,74.33930969238281,168.16481018066406,-0.30969885987389034,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-06,77.17987823486328,175.50210571289062,-0.6250164932493334,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-07,76.72457885742188,175.83834838867188,-1.2249391324320982,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-08,76.24951171875,175.01759338378906,-1.3469866384208302,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-10,73.884033203125,169.73709106445312,-1.4412380788962054,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-13,73.68608093261719,168.95590209960938,-1.3031886926555103,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-14,74.28982543945312,171.7147979736328,-1.8860886805404107,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-15,75.36863708496094,176.39210510253906,-2.81906037448168,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-16,78.40715026855469,184.40182495117188,-3.225653638046154,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-17,79.47606658935547,189.9097442626953,-4.525780016509785,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-21,80.66374206542969,190.7206115722656,-3.686871319896298,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-22,82.39579010009766,193.3311920166016,-3.077674981613484,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-23,80.39652252197266,188.5747833251953,-3.031136394510341,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-24,78.86243438720703,184.6688232421875,-2.885209682488309,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-27,74.85397338867188,172.6245574951172,-1.713242606051324,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-28,73.74547576904297,170.92372131347656,-2.0901838409796767,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-29,74.37889862060547,173.32662963867188,-2.4902896420421,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-30,79.90164947509766,179.69485473632812,0.29338746761303014,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-31,80.21836853027344,178.3401641845703,1.1927802294805332,2.1618288269558783,-1.0,-0.6372459666338677,0.2740895099409312,2.2376635917318453,100.00000000000001,0.0,0.0,0.0,1
2025-02-03,79.36719512939453,176.80740356445312,1.0008712715668082,1.848093900203667,-1.0,-0.643439200352256,0.27675331714208057,2.258222345909599,0.9625204238407881,0.0,0.12229320939143662,0.12229320939143662,1
2025-02-04,79.09007263183594,176.57008361816406,0.8258238143904606,1.6132075753993342,-1.0,-0.6450129711163493,0.27743022069278994,2.263171073397409,0.24399056058818236,0.0,0.23492560526067763,0.11263239586924101,1
2025-02-05,81.09923553466797,178.65658569335938,1.9375493677137712,2.0127099708551626,-1.0,-0.633142841635718,0.2723246913640325,2.212649084853805,1.874794864609838,0.0,-0.48215179695435495,-0.7170774022150326,1
2025-02-06,81.9801025390625,180.7628326416016,1.9124864422449974,1.7497887001376726,-1.0,-0.6260602366506108,0.26927835159710134,2.1826814073902745,1.1312976883819887,0.0,-0.46628338510335254,0.015868411851002406,1
2025-02-07,81.4852294921875,177.9940185546875,2.6085238694034274,1.826515098420455,-1.0,-0.6327381681218168,0.2721506349228483,2.2155849342772718,1.0554020300416453,0.0,-0.9020447414678401,-0.43576135636448754,1
2025-02-10,82.87086486816406,181.61325073242188,2.4374705789962974,1.5454963136858513,-1.0,-0.6211736495524453,0.2671765536522751,2.1605823476055592,1.8617207245838188,0.0,-0.7938127958444241,0.10823194562341598,1
2025-02-11,82.40568542480469,181.15838623046875,2.1679355099566635,1.2881154621627267,-1.0,-0.6237339924050407,0.2682777973705454,2.1720696204478958,0.4104863425389159,0.0,-0.6263847133267078,0.16742808251771635,1
2025-02-12,80.7330322265625,178.87413024902344,1.4777767256708216,0.9065646896404531,-1.0,-0.6342376388584936,0.27279558086351463,2.2119462551126654,1.6561058205812975,0.0,-0.19590921941068729,0.43047549391602047,1
2025-02-13,82.4452896118164,182.21646118164065,1.752445023902979,0.9245188501070747,-1.0,-0.6218153159878306,0.26745254447533096,2.1613734310089256,1.997751189342868,0.0,-0.3701141923507336,-0.17420497294004633,1
2025-02-14,81.90092468261719,167.31439208984375,7.617694322710761,2.6161769934631987,-1.0,-0.6499183763632791,0.2795401126192855,2.4406159463192596,4.324090747010971,0.0,-4.017216038436295,-3.6471018460855618,1
2025-02-18,85.69161987304688,170.0832061767578,10.217479039107033,2.733253295377971,-1.0,-0.6295362765357196,0.27077345100695294,2.1851027101737714,3.2376370651299498,0.0,-5.706863900210628,-1.6896478617743327,1
2025-02-19,86.76054382324219,172.1202392578125,10.41024303199572,2.3014557925488544,-1.0,-0.621920850247319,0.2674979364196974,2.0881665383972003,1.2245008806783337,0.0,-5.828215826543932,-0.12135192633330405,1
2025-02-20,88.10658264160156,174.44940185546875,10.754472394680434,2.033708330528295,-1.0,-0.6129704047673794,0.2636482090870814,1.9711560045212546,1.4601757948389524,0.0,-6.042299244464907,-0.21408341792097474,1
2025-02-21,85.13736724853516,170.4551239013672,9.50325875341889,1.5479719676251622,-1.0,-0.6311027789496877,0.27144722832599005,2.185515813690975,2.8731253905243554,0.0,-5.275342312330338,0.7669569321345691,1
2025-02-24,82.48485565185547,167.0753631591797,8.304435393382079,1.1537270636237722,-1.0,-0.6478924859280855,0.27866874528916435,2.3638748010585426,2.5914341257326132,0.0,-4.518761558341303,0.7565807539890343,1
2025-02-25,79.4661636352539,164.07223510742188,6.577435971312212,0.6677185955980074,-1.0,-0.6665057644743426,0.286674609056473,2.529460677536118,2.79266580101329,0.0,-3.3998516095801037,1.1189099487611998,1
2025-02-26,80.46581268310547,167.01588439941406,6.310975174417322,0.5269973278514625,-1.0,-0.6565903224310021,0.28240982152888344,2.4438938361024567,1.5101413628255882,0.0,-3.222253952443232,0.1775976571368716,1
